text,actual_sentiment,predicted_sentiment,confidence,correct_prediction,prob_negative,prob_neutral,prob_positive,mixed_detected,middle_subtype
this starbucks is always quick and efficient the baristas are so friendly here they always make my drink perfect and if i m looking for something new they always have the perfect suggestion,positive,positive,0.9825937473703265,True,0.0034629151435726,0.013943337486101,0.9825937473703265,False,
make sure you order your coffee drinks non stop or to go otherwise they ll send security to ask you to leave or order more from the workers who spend their time talking about their teenage personal lives out loud and cussing non stop either that or they just judge people based off of their appearance either way not the usual starbucks customer service found elsewhere also they charge for refills regardless of your rewards status just go elsewhere,negative,negative,0.7773533960872592,True,0.7773533960872592,0.1101640680066843,0.1124825359060565,False,
truly the best starbucks i have been to they are always so sweet and understanding in there you can tell they really care about the community with all of the programs they have going on in store they give their grounds out for free for those who compost and have a sanitary product donation drive too the store is always decorated for the season and has a pride flag year round i love you market street starbucks,positive,positive,0.845147133566995,True,0.1019261124138239,0.0529267540191809,0.845147133566995,False,
quick drive through always a great coffee or lattes only thing i see is that they need to keep their outside seating clean,positive,positive,0.892474449564499,True,0.0113206212077716,0.0962049292277293,0.892474449564499,False,
this starbucks is convenient and like most of the other establishments delivers a similar experience i find it kind of funny that it s right next door to a dunkin donuts but maybe that s a benefit for those of us who don t want to pay for a scone made from organic power berries harvested from the heart of the jungles of expensivecoffeebeanland,neutral,negative,0.5057080743772369,False,0.5057080743772369,0.1815851286058297,0.3127067970169333,True,mixed_candidate
located on the intersection at magazine and washington is this great starbucks location being on the intersection there are plenty of parking options available through out your visit there the line is always people long no matter what time i go but they usually manage to go through it pretty quickly which is nice on my last visit i wanted to try the gingerbread latte and i had a free birthday drink so when i placed my order i requested both of those the woman who took my order okayed it and along i went i paid with a different guy who ended up charging me for the drink which was supposed to free i explained that i told the other woman it was meant to be the free birthday special but he just laughed and said you have to tell me not her well she s the one that took my order so she should ve been the one to put me through the register too so that was annoying they just had no communication between the staff members and how he shrugged it off was irritating anyways i got my gingerbread latte and took a seat now this place is always busy so don t expect your ideal seating if you come too late in the day i ended up moving three times as new more preferred places to sit became available the downside to the seating is that there aren t many powerpoint available and starbucks has to know that people come to work here while they drink their coffee not a clever move the gingerbread latte was just okay it didn t taste like gingerbread at all so i was pretty disappointed but i managed to finish it off despite the lack of taste there is a wide variety of seating inside with wall seating tabled seating and a few couch seating which is nice there is also outdoor seating but during this weather it isn t recommended but would give you views of the street which is a nice distraction from the hustle and bustle from inside overall a beautiful location but the lack of communication and consideration the staff have between themselves and the customers made the visit spoiled,neutral,positive,0.5571972918836056,False,0.1014422250216282,0.3413604830947661,0.5571972918836056,False,neutral_candidate
one of my absolute favourite starbucks locations in edmonton staff is well trained and always carry themselves professionally drive thru is fast efficient and is great for me as i am usually grabbing and running starbucks has some amazing products and this locations provides fast friendly and genuine service,positive,positive,0.9720552912210576,True,0.0087244439637237,0.0192202648152185,0.9720552912210576,False,
finally a starbucks that does everything right i m so used to sub par starbucks places messing up my order they were nice everything was extra good,positive,positive,0.4926360232487713,True,0.2684610750018376,0.2389029017493909,0.4926360232487713,False,
i have a starbucks gift card in my possession i went to use the gift card this morning at this location in the drive thru i ordered a cup of tea and an order of egg bites when i reached the window i handed the woman my card she said she couldn t scan it and do i have it on the phone app no i don t i have it in my hand she said she couldn t use it so i drove away without paying or getting my order because i was so infuriated she wouldn t enter the card manually when i got to work annoyed and hangry without breakfast i pulled out my phone and entered the card into the app and the full balance was on the card clearly this isn t an issue of she couldn t do it it s an issue of she wouldn t do it will never be back to this location am,negative,negative,0.708632321328911,True,0.708632321328911,0.2080832651178578,0.0832844135532314,False,
never again will i go to delran starbucks on sunday november my mom and i went through the drive thru seeing how there was no one in line we waited at least minutes for the hippie dude to ring us up not once did he say i ll be right with you he continued to take other customers orders who went through the drive thru finally he rings us up and hands us our grande egg nog lattes hot with no sleeves and no whip cream last i checked starbucks advertises all their lattes with whip cream so why would the store decide not serve it that way we ask the hippie dude at the window to fix our drinks then he rings us up wrong so another person comes to the window us thinking it was the manager asking what the problem was and after we explain the boy asks us to pull around front and come inside to talk to our manager a girl who wasn t the manager but the shift leader refunded us our money and yes we got our drinks but the service at this starbucks in horrible especially for not being the morning rush time for starbucks to but up a coffee shop in cinnaminson nj,negative,negative,0.9403839505982896,True,0.9403839505982896,0.0253136558590987,0.0343023935426115,False,
