review_id,stars,date,year_month,text,clean_text,raw_text_length,predicted_sentiment,confidence,prob_negative,prob_neutral,prob_positive
5o3Tcx1ehuw5ScqdZCP0eQ,1,2019-09-27 16:20:44,2019-09,Five employees and it was faster to do mobile order than order at cashier. I still had to wait forever for the sandwiches.  The only convenience is the location.,five employees and it was faster to do mobile order than order at cashier. i still had to wait forever for the sandwiches.  the only convenience is the location.,161,negative,0.7799436019129316,0.7799436019129316,0.10238124690377863,0.11767515118328974
yGeUmJuw8sKRJdyxfnzq6w,5,2015-01-24 04:15:50,2015-01,Coolest Starbucks I've ever been in. $5 for a coffee is a small price to pay for the super laid back hipster Mac Book ambience going in this Java house.,coolest starbucks i've ever been in. $5 for a coffee is a small price to pay for the super laid back hipster mac book ambience going in this java house.,152,positive,0.6083940826311542,0.3335729665567686,0.0580329508120771,0.6083940826311542
isHVN6tyR4lipYgIwuUDHg,5,2013-01-20 01:39:07,2013-01,"I use to work at this Starbucks location.  I have since left the company to stay at home with my family, and I still make the drive to see my folks at Starbucks!!  I love this location, it is by far my absolute favorite and I have been to Starbucks locations all over!","i use to work at this starbucks location.  i have since left the company to stay at home with my family, and i still make the drive to see my folks at starbucks!!  i love this location, it is by far my absolute favorite and i have been to starbucks locations all over!",268,positive,0.8828176899739214,0.07525212249769586,0.04193018752838267,0.8828176899739214
Ori4xui-iyWiERzyAmGIjw,4,2019-06-02 04:01:13,2019-06,"I think this is a great Starbucks location in Tampa. It's located on the corner of a busy intersection, at Kennedy and Westshore, making it equally accessible for you to leave and go take care of multiple things that you need to do in the area or, for you to come from various locations in the area to take a quick coffee break. Unlike Starbucks locations that are closer to downtown, this location is located in a plaza with ample parking, making it a more stress free option when you are on your coffee run. The inside of the store is spacious, with lots of table seating. I also really like the addition of high top table seating in the middle of the store. It makes for a more communal feel and it also allows slightly larger groups of people to congregate and meet up, always a plus for a coffee shop. The staff here are courteous and take care of your drink or food orders fast. And the bathrooms are quite clean, another plus considering the high volume of people that pass through the store. Will definitely drop by if I'm in the area again :)","i think this is a great starbucks location in tampa. it's located on the corner of a busy intersection, at kennedy and westshore, making it equally accessible for you to leave and go take care of multiple things that you need to do in the area or, for you to come from various locations in the area to take a quick coffee break. unlike starbucks locations that are closer to downtown, this location is located in a plaza with ample parking, making it a more stress free option when you are on your coffee run. the inside of the store is spacious, with lots of table seating. i also really like the addition of high top table seating in the middle of the store. it makes for a more communal feel and it also allows slightly larger groups of people to congregate and meet up, always a plus for a coffee shop. the staff here are courteous and take care of your drink or food orders fast. and the bathrooms are quite clean, another plus considering the high volume of people that pass through the store. will definitely drop by if i'm in the area again :)",1051,positive,0.9201064036849114,0.014789260960280163,0.06510433535480842,0.9201064036849114
tHD2lxEssyqWtfuVHiRtRA,4,2020-05-29 20:57:03,2020-05,"Bike rack, great arrows & social distancing visual aids on floor- servuce is always sketchy here- but I'm impressed w/their adherence to CDC standards","bike rack, great arrows & social distancing visual aids on floor- servuce is always sketchy here- but i'm impressed w/their adherence to cdc standards",150,positive,0.7020811512084245,0.17307481342604228,0.12484403536553332,0.7020811512084245
kH_9mze1cUWsSr3JEMocGg,5,2019-08-28 03:06:19,2019-08,"It's Starbucks so by now unless you live under a rock you should know what you're going to get. So with that said, the x factor is the employees, the restaurant space itself and the cleanliness of the restaurant.   The employees at this location have always been kind in my multiple visits here. Today I received a coffee and the barista asked if I could wait for her to pour a new batch because the coffee I received was on the stale side. That goes a long way because just the other week down the street at another location, I did receive a stale Starbucks coffee and it's pretty disappointing. That's your pick me up at work that you've been craving for the last two hours and then you finally get it and realize you should have just had the regular stuff in your work's cafeteria. So I'm appreciative that this staff goes the extra mile and acknowledges your presence when you enter.   As far as the space goes, it's not a large space but this location is never crazy busy so I've never seen a seating issue here so it appears to be just right. And cleanliness has also never been an issue here, there's never packets of sugar thrown around the condiments counter or trashed tables.  Overall, it's a Starbucks location that has good employees, always seems to have seats available and is clean. Definitely recommend if you like Starbucks.","it's starbucks so by now unless you live under a rock you should know what you're going to get. so with that said, the x factor is the employees, the restaurant space itself and the cleanliness of the restaurant.   the employees at this location have always been kind in my multiple visits here. today i received a coffee and the barista asked if i could wait for her to pour a new batch because the coffee i received was on the stale side. that goes a long way because just the other week down the street at another location, i did receive a stale starbucks coffee and it's pretty disappointing. that's your pick me up at work that you've been craving for the last two hours and then you finally get it and realize you should have just had the regular stuff in your work's cafeteria. so i'm appreciative that this staff goes the extra mile and acknowledges your presence when you enter.   as far as the space goes, it's not a large space but this location is never crazy busy so i've never seen a seating issue here so it appears to be just right. and cleanliness has also never been an issue here, there's never packets of sugar thrown around the condiments counter or trashed tables.  overall, it's a starbucks location that has good employees, always seems to have seats available and is clean. definitely recommend if you like starbucks.",1342,positive,0.741108627445192,0.16958023916464196,0.0893111333901661,0.741108627445192
dAsmPqW7ZiUy9a9KjdMOkA,4,2015-10-22 00:32:25,2015-10,I often stop by here when I am at work as they are only a block away. The baristas know me by name but I never really order the same drinks 2 days in a row. Like to keep them guessing. LOL. They have pretty good with service and try to be efficient and get people through. I love their patios in the summer time and actually it's probably my favorite patio for a coffee shop in the city.,i often stop by here when i am at work as they are only a block away. the baristas know me by name but i never really order the same drinks 2 days in a row. like to keep them guessing. lol. they have pretty good with service and try to be efficient and get people through. i love their patios in the summer time and actually it's probably my favorite patio for a coffee shop in the city.,387,positive,0.9146309667888476,0.02930700560693983,0.056062027604212604,0.9146309667888476
D9UZfNEi7qTUy-gBVw4Uhw,1,2019-01-17 00:16:58,2019-01,This place gets the order wrong every time. Tea tastes watered down. I'll travel the extra distance and go to neshaminy or oxrord oaks.,this place gets the order wrong every time. tea tastes watered down. i'll travel the extra distance and go to neshaminy or oxrord oaks.,135,negative,0.8000729001075039,0.8000729001075039,0.10209395317142757,0.09783314672106865
V6S1geeV1abUK8S-bPm49w,3,2017-06-15 19:21:05,2017-06,"The baristas here are OUTSTANDING! They're friendly and make grabbing coffee here very pleasant. And yet the parking is so atrociously awful I often drive to this location, see that there is no parking, and then head somewhere else for coffee. There is no place to wait for a spot, and I've even been double parked into a spot before. It's just a disaster","the baristas here are outstanding! they're friendly and make grabbing coffee here very pleasant. and yet the parking is so atrociously awful i often drive to this location, see that there is no parking, and then head somewhere else for coffee. there is no place to wait for a spot, and i've even been double parked into a spot before. it's just a disaster",355,positive,0.70388923092894,0.12788920540866663,0.16822156366239335,0.70388923092894
frVN-DCfPAaGFVUgesYHNw,5,2021-12-25 15:19:31,2021-12,I'm mean when Starbucks cravings call you answer!! And I can say that they never disappoint!! My go to drink is the iced green tea unsweetened. The only disappointment is that they never seem to have guava anymore. But you add guava syrup to your green tea and I've gotten people addicted!! Anyways plain iced green is also very enjoyable.,i'm mean when starbucks cravings call you answer!! and i can say that they never disappoint!! my go to drink is the iced green tea unsweetened. the only disappointment is that they never seem to have guava anymore. but you add guava syrup to your green tea and i've gotten people addicted!! anyways plain iced green is also very enjoyable.,339,negative,0.5367785678942317,0.5367785678942317,0.14913057684232187,0.3140908552634464
